batter,game_year,WH,AB,IABA
116338.0,2015.0,568.0,518,1.0965250965250966
120074.0,2015.0,602.0,519,1.1599229287090558
120074.0,2016.0,774.0,536,1.4440298507462686
121347.0,2015.0,602.0,518,1.162162162162162
121347.0,2016.0,198.0,224,0.8839285714285714
133380.0,2015.0,565.0,468,1.2072649572649572
134181.0,2015.0,754.0,572,1.3181818181818181
134181.0,2016.0,875.0,587,1.4906303236797274
134181.0,2017.0,467.0,335,1.3940298507462687
134181.0,2018.0,584.0,430,1.3581395348837209
136860.0,2015.0,615.0,472,1.3029661016949152
136860.0,2016.0,749.0,555,1.3495495495495495
136860.0,2017.0,562.0,483,1.1635610766045548
150029.0,2015.0,352.0,325,1.083076923076923
150029.0,2016.0,632.0,530,1.1924528301886792
150029.0,2017.0,283.0,267,1.0599250936329587
150212.0,2015.0,481.0,385,1.2493506493506494
150229.0,2015.0,560.0,399,1.4035087719298245
150229.0,2016.0,268.0,237,1.130801687763713
276519.0,2015.0,538.0,514,1.046692607003891
346874.0,2015.0,478.0,348,1.3735632183908046
346874.0,2016.0,252.0,237,1.0632911392405062
400085.0,2015.0,480.0,395,1.2151898734177216
400085.0,2016.0,493.0,323,1.5263157894736843
400121.0,2015.0,507.0,433,1.1709006928406467
400121.0,2016.0,741.0,545,1.3596330275229358
400121.0,2017.0,475.0,388,1.2242268041237114
400121.0,2018.0,570.0,464,1.228448275862069
400284.0,2015.0,386.0,367,1.0517711171662125
400284.0,2016.0,547.0,524,1.0438931297709924
400284.0,2017.0,355.0,315,1.126984126984127
405395.0,2015.0,688.0,594,1.1582491582491583
405395.0,2016.0,760.0,591,1.2859560067681894
405395.0,2017.0,650.0,583,1.1149228130360205
405395.0,2018.0,552.0,461,1.1973969631236443
407781.0,2015.0,573.0,490,1.1693877551020408
407812.0,2015.0,284.0,238,1.1932773109243697
407812.0,2016.0,433.0,379,1.1424802110817942
407812.0,2017.0,421.0,370,1.1378378378378378
407893.0,2015.0,471.0,382,1.2329842931937174
407893.0,2016.0,368.0,381,0.9658792650918635
408045.0,2015.0,700.0,583,1.2006861063464838
408045.0,2016.0,554.0,487,1.1375770020533882
408045.0,2017.0,735.0,526,1.397338403041825
408045.0,2018.0,591.0,466,1.2682403433476395
408234.0,2015.0,604.0,422,1.4312796208530805
408234.0,2016.0,871.0,584,1.4914383561643836
408234.0,2017.0,513.0,464,1.105603448275862
408236.0,2015.0,789.0,579,1.3626943005181347
408236.0,2016.0,748.0,594,1.2592592592592593
408236.0,2017.0,268.0,226,1.1858407079646018
408252.0,2015.0,783.0,573,1.3664921465968587
408252.0,2016.0,675.0,533,1.2664165103189493
408252.0,2017.0,715.0,554,1.2906137184115523
408299.0,2015.0,500.0,434,1.152073732718894
408314.0,2015.0,582.0,475,1.2252631578947368
408314.0,2016.0,299.0,254,1.1771653543307086
408314.0,2017.0,586.0,495,1.183838383838384
408314.0,2018.0,250.0,221,1.1312217194570136
424825.0,2016.0,540.0,466,1.1587982832618027
425509.0,2015.0,730.0,578,1.2629757785467128
425509.0,2016.0,378.0,283,1.3356890459363957
425549.0,2015.0,263.0,201,1.308457711442786
425560.0,2015.0,426.0,421,1.01187648456057
425567.0,2015.0,582.0,430,1.3534883720930233
425766.0,2015.0,469.0,352,1.3323863636363635
425766.0,2016.0,455.0,336,1.3541666666666667
425783.0,2015.0,647.0,565,1.1451327433628318
425783.0,2017.0,627.0,539,1.163265306122449
425783.0,2018.0,724.0,549,1.3187613843351549
425784.0,2015.0,283.0,292,0.9691780821917808
425784.0,2017.0,274.0,215,1.2744186046511627
425796.0,2015.0,435.0,316,1.3765822784810127
425796.0,2016.0,409.0,295,1.3864406779661016
425834.0,2015.0,316.0,201,1.572139303482587
425834.0,2016.0,547.0,493,1.1095334685598377
425877.0,2015.0,609.0,478,1.2740585774058577
425877.0,2016.0,806.0,525,1.5352380952380953
425877.0,2017.0,626.0,484,1.2933884297520661
425877.0,2018.0,556.0,450,1.2355555555555555
425900.0,2016.0,339.0,297,1.1414141414141414
425902.0,2015.0,818.0,628,1.302547770700637
425902.0,2016.0,287.0,321,0.8940809968847352
429664.0,2015.0,802.0,608,1.319078947368421
429664.0,2016.0,859.0,638,1.3463949843260188
429664.0,2017.0,764.0,587,1.301533219761499
429664.0,2018.0,407.0,307,1.3257328990228012
429665.0,2015.0,753.0,560,1.3446428571428573
429665.0,2016.0,729.0,625,1.1664
429665.0,2017.0,695.0,560,1.2410714285714286
429665.0,2018.0,577.0,492,1.1727642276422765
429666.0,2015.0,436.0,406,1.0738916256157636
429666.0,2016.0,489.0,407,1.2014742014742015
429666.0,2017.0,253.0,245,1.0326530612244897
429667.0,2015.0,472.0,462,1.0216450216450217
429667.0,2016.0,296.0,330,0.896969696969697
429711.0,2016.0,259.0,244,1.0614754098360655
429713.0,2015.0,344.0,265,1.2981132075471697
430203.0,2015.0,330.0,279,1.1827956989247312
430404.0,2015.0,250.0,220,1.1363636363636365
430605.0,2016.0,251.0,220,1.1409090909090909
430637.0,2015.0,396.0,312,1.2692307692307692
430637.0,2016.0,419.0,300,1.3966666666666667
430832.0,2015.0,718.0,574,1.2508710801393728
430832.0,2016.0,455.0,445,1.0224719101123596
430832.0,2017.0,524.0,576,0.9097222222222222
430832.0,2018.0,294.0,319,0.9216300940438872
430897.0,2015.0,212.0,219,0.9680365296803652
430910.0,2015.0,458.0,322,1.4223602484472049
430945.0,2015.0,659.0,534,1.2340823970037453
430945.0,2016.0,695.0,614,1.1319218241042346
430945.0,2017.0,697.0,583,1.195540308747856
430945.0,2018.0,741.0,567,1.306878306878307
430947.0,2015.0,752.0,587,1.2810902896081773
430947.0,2016.0,487.0,404,1.2054455445544554
430947.0,2017.0,371.0,326,1.138036809815951
430948.0,2015.0,293.0,227,1.2907488986784141
431094.0,2015.0,369.0,303,1.2178217821782178
431094.0,2016.0,498.0,375,1.328
431145.0,2015.0,546.0,461,1.1843817787418656
431145.0,2016.0,544.0,477,1.140461215932914
431145.0,2017.0,327.0,300,1.09
431145.0,2018.0,280.0,286,0.9790209790209791
431151.0,2015.0,247.0,201,1.228855721393035
431171.0,2015.0,268.0,234,1.1452991452991452
433217.0,2015.0,375.0,228,1.644736842105263
434158.0,2015.0,682.0,616,1.1071428571428572
434158.0,2016.0,588.0,540,1.0888888888888888
434158.0,2017.0,463.0,456,1.0153508771929824
434158.0,2018.0,383.0,343,1.1166180758017492
434563.0,2015.0,303.0,279,1.086021505376344
434563.0,2016.0,281.0,208,1.3509615384615385
434604.0,2015.0,322.0,226,1.424778761061947
434636.0,2015.0,544.0,501,1.0858283433133733
434636.0,2016.0,655.0,498,1.3152610441767068
434658.0,2015.0,373.0,330,1.1303030303030304
434658.0,2016.0,562.0,473,1.1881606765327695
434658.0,2017.0,355.0,331,1.0725075528700907
434670.0,2015.0,467.0,395,1.1822784810126583
434670.0,2016.0,755.0,554,1.3628158844765343
434670.0,2017.0,574.0,491,1.1690427698574337
434778.0,2015.0,808.0,609,1.3267651888341543
434778.0,2016.0,726.0,551,1.3176043557168784
434778.0,2017.0,655.0,538,1.2174721189591078
434778.0,2018.0,483.0,404,1.1955445544554455
435062.0,2015.0,645.0,479,1.346555323590814
435062.0,2016.0,577.0,496,1.1633064516129032
435062.0,2017.0,430.0,298,1.4429530201342282
435063.0,2015.0,413.0,406,1.0172413793103448
435063.0,2016.0,652.0,592,1.1013513513513513
435063.0,2017.0,415.0,421,0.9857482185273159
435064.0,2016.0,276.0,226,1.2212389380530972
435079.0,2015.0,841.0,607,1.385502471169687
435079.0,2016.0,805.0,607,1.3261943986820428
435079.0,2017.0,505.0,543,0.9300184162062615
435079.0,2018.0,639.0,510,1.2529411764705882
435263.0,2015.0,453.0,458,0.9890829694323144
435263.0,2016.0,514.0,423,1.215130023640662
435263.0,2017.0,453.0,403,1.1240694789081886
435401.0,2015.0,343.0,236,1.4533898305084745
435522.0,2015.0,700.0,530,1.320754716981132
435522.0,2016.0,563.0,406,1.3866995073891626
435522.0,2017.0,483.0,374,1.2914438502673797
435522.0,2018.0,381.0,345,1.1043478260869566
435559.0,2015.0,493.0,424,1.1627358490566038
435559.0,2016.0,427.0,339,1.2595870206489677
435559.0,2017.0,398.0,264,1.5075757575757576
435559.0,2018.0,485.0,346,1.4017341040462428
435622.0,2015.0,630.0,575,1.0956521739130434
435622.0,2016.0,820.0,632,1.2974683544303798
435622.0,2017.0,416.0,334,1.2455089820359282
435622.0,2018.0,641.0,562,1.1405693950177935
443558.0,2015.0,784.0,576,1.3611111111111112
443558.0,2016.0,786.0,574,1.3693379790940767
443558.0,2017.0,701.0,548,1.2791970802919708
443558.0,2018.0,629.0,513,1.226120857699805
444379.0,2016.0,433.0,377,1.1485411140583555
444379.0,2017.0,276.0,250,1.104
444432.0,2015.0,617.0,498,1.2389558232931728
444432.0,2016.0,728.0,609,1.1954022988505748
444432.0,2017.0,580.0,543,1.0681399631675874
444432.0,2018.0,430.0,327,1.3149847094801224
444482.0,2015.0,649.0,451,1.4390243902439024
444482.0,2017.0,732.0,537,1.3631284916201116
444482.0,2018.0,718.0,547,1.3126142595978063
444489.0,2017.0,444.0,323,1.3746130030959753
444489.0,2018.0,377.0,309,1.220064724919094
444843.0,2015.0,532.0,405,1.3135802469135802
444876.0,2015.0,778.0,664,1.1716867469879517
444876.0,2016.0,792.0,627,1.263157894736842
444876.0,2017.0,728.0,584,1.2465753424657535
444876.0,2018.0,526.0,476,1.1050420168067228
445055.0,2015.0,218.0,205,1.0634146341463415
445055.0,2016.0,435.0,340,1.2794117647058822
445055.0,2017.0,583.0,396,1.4722222222222223
445055.0,2018.0,603.0,513,1.1754385964912282
445988.0,2015.0,674.0,496,1.3588709677419355
445988.0,2016.0,789.0,592,1.3327702702702702
446263.0,2015.0,578.0,502,1.151394422310757
446263.0,2017.0,415.0,418,0.992822966507177
446263.0,2018.0,384.0,327,1.1743119266055047
446308.0,2015.0,333.0,256,1.30078125
446308.0,2016.0,544.0,423,1.2860520094562649
446308.0,2017.0,498.0,425,1.171764705882353
446308.0,2018.0,276.0,232,1.1896551724137931
446334.0,2015.0,780.0,592,1.3175675675675675
446334.0,2016.0,786.0,631,1.2456418383518224
446334.0,2017.0,653.0,600,1.0883333333333334
446334.0,2018.0,562.0,469,1.1982942430703625
446359.0,2016.0,493.0,454,1.0859030837004404
446359.0,2017.0,601.0,429,1.400932400932401
446359.0,2018.0,206.0,216,0.9537037037037037
446381.0,2016.0,369.0,285,1.2947368421052632
446381.0,2017.0,397.0,328,1.2103658536585367
446386.0,2015.0,438.0,325,1.3476923076923077
446386.0,2016.0,388.0,305,1.2721311475409836
446481.0,2015.0,303.0,201,1.507462686567164
446481.0,2016.0,415.0,285,1.456140350877193
448602.0,2015.0,432.0,371,1.1644204851752022
448602.0,2016.0,549.0,389,1.411311053984576
448602.0,2017.0,711.0,518,1.3725868725868726
448602.0,2018.0,280.0,200,1.4
448801.0,2015.0,699.0,563,1.241563055062167
448801.0,2016.0,591.0,563,1.0497335701598578
448801.0,2017.0,417.0,444,0.9391891891891891
448801.0,2018.0,370.0,462,0.8008658008658008
449107.0,2015.0,319.0,286,1.1153846153846154
449181.0,2015.0,312.0,239,1.3054393305439331
449181.0,2016.0,727.0,447,1.6263982102908277
450314.0,2015.0,669.0,522,1.2816091954022988
450314.0,2016.0,717.0,573,1.2513089005235603
450314.0,2017.0,479.0,458,1.0458515283842795
450314.0,2018.0,623.0,443,1.4063205417607223
451594.0,2015.0,711.0,621,1.144927536231884
451594.0,2016.0,562.0,516,1.0891472868217054
451594.0,2017.0,472.0,405,1.165432098765432
451594.0,2018.0,221.0,280,0.7892857142857143
452095.0,2015.0,416.0,327,1.27217125382263
452095.0,2016.0,379.0,272,1.3933823529411764
452095.0,2017.0,464.0,314,1.4777070063694266
452095.0,2018.0,300.0,254,1.1811023622047243
452104.0,2015.0,705.0,567,1.2433862433862435
452104.0,2016.0,595.0,462,1.2878787878787878
452104.0,2017.0,752.0,530,1.4188679245283018
452220.0,2015.0,393.0,369,1.065040650406504
452234.0,2015.0,443.0,386,1.1476683937823835
452234.0,2016.0,391.0,373,1.0482573726541555
452234.0,2017.0,386.0,325,1.1876923076923076
452239.0,2015.0,233.0,243,0.9588477366255144
452252.0,2015.0,601.0,496,1.2116935483870968
452252.0,2016.0,481.0,393,1.2239185750636132
452252.0,2017.0,498.0,265,1.879245283018868
452254.0,2015.0,275.0,204,1.3480392156862746
452254.0,2016.0,554.0,403,1.3746898263027296
452254.0,2017.0,592.0,481,1.2307692307692308
452254.0,2018.0,269.0,220,1.2227272727272727
452655.0,2015.0,307.0,244,1.2581967213114753
452655.0,2016.0,752.0,571,1.316987740805604
452655.0,2017.0,591.0,481,1.2286902286902286
452655.0,2018.0,525.0,428,1.2266355140186915
452678.0,2015.0,690.0,496,1.3911290322580645
452678.0,2016.0,618.0,518,1.193050193050193
452678.0,2017.0,600.0,470,1.2765957446808511
452678.0,2018.0,630.0,533,1.1819887429643527
453056.0,2015.0,470.0,443,1.0609480812641083
453056.0,2016.0,620.0,559,1.10912343470483
453056.0,2017.0,449.0,366,1.226775956284153
453064.0,2015.0,657.0,523,1.2562141491395793
453064.0,2016.0,623.0,517,1.2050290135396517
453064.0,2017.0,319.0,234,1.3632478632478633
453400.0,2015.0,319.0,241,1.3236514522821576
453400.0,2016.0,256.0,236,1.0847457627118644
453539.0,2015.0,270.0,285,0.9473684210526315
453568.0,2015.0,756.0,609,1.2413793103448276
453568.0,2016.0,787.0,570,1.380701754385965
453568.0,2017.0,926.0,639,1.4491392801251957
453568.0,2018.0,817.0,633,1.2906793048973144
453923.0,2015.0,505.0,321,1.573208722741433
453923.0,2016.0,296.0,244,1.2131147540983607
453923.0,2017.0,236.0,222,1.063063063063063
453943.0,2015.0,672.0,598,1.1237458193979932
453943.0,2016.0,658.0,582,1.1305841924398625
453943.0,2017.0,496.0,512,0.96875
453943.0,2018.0,439.0,395,1.111392405063291
455104.0,2015.0,274.0,267,1.0262172284644195
455104.0,2016.0,306.0,292,1.047945205479452
455104.0,2017.0,326.0,273,1.1941391941391941
455104.0,2018.0,358.0,305,1.1737704918032787
455117.0,2015.0,221.0,223,0.9910313901345291
455117.0,2016.0,224.0,202,1.108910891089109
455117.0,2017.0,465.0,426,1.091549295774648
455117.0,2018.0,443.0,388,1.1417525773195876
455139.0,2015.0,302.0,243,1.242798353909465
455139.0,2017.0,306.0,259,1.1814671814671815
455139.0,2018.0,411.0,355,1.1577464788732394
455759.0,2015.0,388.0,312,1.2435897435897436
455759.0,2016.0,300.0,203,1.477832512315271
455759.0,2017.0,293.0,238,1.23109243697479
455976.0,2015.0,828.0,607,1.3640856672158155
455976.0,2016.0,773.0,587,1.3168654173764907
455976.0,2017.0,715.0,580,1.2327586206896552
455976.0,2018.0,852.0,625,1.3632
456030.0,2015.0,483.0,371,1.3018867924528301
456030.0,2016.0,898.0,637,1.4097331240188382
456030.0,2017.0,526.0,398,1.321608040201005
456078.0,2015.0,373.0,331,1.1268882175226587
456078.0,2016.0,519.0,407,1.2751842751842752
456078.0,2017.0,467.0,331,1.4108761329305135
456121.0,2015.0,292.0,212,1.3773584905660377
456124.0,2018.0,289.0,218,1.3256880733944953
456422.0,2015.0,496.0,422,1.1753554502369667
456422.0,2016.0,477.0,369,1.2926829268292683
456488.0,2016.0,698.0,543,1.285451197053407
456488.0,2017.0,649.0,449,1.44543429844098
456488.0,2018.0,642.0,491,1.3075356415478616
456665.0,2015.0,322.0,291,1.1065292096219932
456665.0,2016.0,356.0,261,1.3639846743295019
456665.0,2017.0,349.0,299,1.1672240802675586
456665.0,2018.0,333.0,251,1.3266932270916334
456714.0,2015.0,664.0,530,1.2528301886792452
456714.0,2016.0,342.0,247,1.3846153846153846
456715.0,2015.0,804.0,599,1.342237061769616
456715.0,2016.0,489.0,392,1.2474489795918366
456715.0,2017.0,808.0,577,1.4003466204506065
456715.0,2018.0,736.0,574,1.2822299651567943
457454.0,2016.0,235.0,241,0.975103734439834
457477.0,2015.0,424.0,322,1.3167701863354038
457477.0,2016.0,287.0,230,1.2478260869565216
457705.0,2015.0,703.0,547,1.2851919561243144
457705.0,2016.0,711.0,586,1.213310580204778
457705.0,2017.0,687.0,558,1.2311827956989247
457705.0,2018.0,567.0,568,0.9982394366197183
457706.0,2015.0,607.0,483,1.2567287784679089
457706.0,2017.0,418.0,291,1.436426116838488
457706.0,2018.0,416.0,339,1.2271386430678466
457708.0,2015.0,631.0,533,1.1838649155722327
457708.0,2016.0,671.0,560,1.1982142857142857
457708.0,2017.0,669.0,553,1.209764918625678
457708.0,2018.0,627.0,528,1.1875
457727.0,2015.0,622.0,499,1.2464929859719438
457727.0,2016.0,446.0,340,1.311764705882353
457727.0,2017.0,386.0,392,0.9846938775510204
457727.0,2018.0,425.0,326,1.303680981595092
457759.0,2015.0,538.0,397,1.3551637279596978
457759.0,2016.0,725.0,579,1.2521588946459412
457759.0,2017.0,719.0,501,1.435129740518962
457759.0,2018.0,615.0,422,1.457345971563981
457763.0,2015.0,825.0,546,1.510989010989011
457763.0,2016.0,674.0,542,1.2435424354243543
457763.0,2017.0,756.0,478,1.5815899581589958
457763.0,2018.0,476.0,381,1.2493438320209973
457787.0,2015.0,437.0,365,1.1972602739726028
457787.0,2016.0,560.0,517,1.0831721470019342
457787.0,2017.0,209.0,257,0.8132295719844358
457803.0,2015.0,561.0,564,0.9946808510638298
457803.0,2016.0,641.0,526,1.2186311787072244
457803.0,2017.0,644.0,561,1.1479500891265597
457803.0,2018.0,332.0,309,1.0744336569579287
458015.0,2015.0,753.0,534,1.4101123595505618
458015.0,2016.0,792.0,542,1.4612546125461254
458015.0,2017.0,770.0,551,1.397459165154265
458015.0,2018.0,617.0,493,1.2515212981744421
458085.0,2015.0,549.0,448,1.2254464285714286
458085.0,2016.0,226.0,262,0.8625954198473282
458675.0,2015.0,525.0,443,1.18510158013544
458675.0,2016.0,361.0,359,1.0055710306406684
458731.0,2015.0,618.0,565,1.0938053097345133
458731.0,2016.0,659.0,543,1.2136279926335174
458731.0,2017.0,733.0,637,1.1507064364207222
458731.0,2018.0,547.0,527,1.0379506641366223
459431.0,2016.0,654.0,497,1.3158953722334004
459431.0,2017.0,199.0,210,0.9476190476190476
459964.0,2015.0,211.0,247,0.854251012145749
459964.0,2016.0,295.0,227,1.2995594713656389
459964.0,2017.0,510.0,460,1.108695652173913
459964.0,2018.0,222.0,204,1.088235294117647
460026.0,2015.0,567.0,364,1.5576923076923077
460026.0,2016.0,376.0,283,1.3286219081272084
460026.0,2017.0,388.0,281,1.3807829181494662
460026.0,2018.0,327.0,279,1.1720430107526882
460060.0,2015.0,242.0,200,1.21
460075.0,2015.0,687.0,501,1.3712574850299402
460075.0,2016.0,722.0,503,1.4353876739562623
460075.0,2017.0,438.0,378,1.1587301587301588
460075.0,2018.0,524.0,439,1.193621867881549
460086.0,2015.0,502.0,399,1.2581453634085213
460086.0,2016.0,493.0,439,1.1230068337129842
460086.0,2017.0,481.0,464,1.0366379310344827
460086.0,2018.0,601.0,495,1.2141414141414142
460099.0,2016.0,249.0,200,1.245
460576.0,2015.0,557.0,443,1.257336343115124
460576.0,2016.0,487.0,413,1.179176755447942
460576.0,2017.0,439.0,363,1.209366391184573
460576.0,2018.0,352.0,354,0.9943502824858758
461235.0,2015.0,551.0,466,1.1824034334763949
461235.0,2016.0,496.0,408,1.2156862745098038
461235.0,2017.0,411.0,357,1.1512605042016806
461314.0,2015.0,635.0,584,1.0873287671232876
461314.0,2016.0,771.0,611,1.2618657937806874
461314.0,2017.0,578.0,425,1.36
461314.0,2018.0,607.0,467,1.2997858672376874
461416.0,2015.0,441.0,341,1.2932551319648093
461815.0,2015.0,475.0,361,1.3157894736842106
461858.0,2015.0,587.0,566,1.0371024734982333
461858.0,2016.0,388.0,313,1.2396166134185302
461858.0,2017.0,295.0,279,1.0573476702508962
461865.0,2017.0,361.0,313,1.1533546325878594
462101.0,2015.0,765.0,609,1.2561576354679802
462101.0,2016.0,754.0,511,1.4755381604696673
462101.0,2017.0,836.0,633,1.320695102685624
462101.0,2018.0,479.0,393,1.2188295165394403
463610.0,2016.0,237.0,201,1.1791044776119404
465041.0,2015.0,704.0,432,1.6296296296296295
465041.0,2016.0,429.0,319,1.3448275862068966
465041.0,2017.0,346.0,261,1.3256704980842913
465041.0,2018.0,409.0,325,1.2584615384615385
466320.0,2015.0,799.0,615,1.2991869918699186
466320.0,2016.0,824.0,577,1.4280762564991334
466320.0,2017.0,826.0,615,1.3430894308943089
466320.0,2018.0,309.0,257,1.2023346303501945
467055.0,2015.0,511.0,461,1.1084598698481563
467055.0,2017.0,271.0,255,1.0627450980392157
467055.0,2018.0,284.0,225,1.2622222222222221
467070.0,2015.0,309.0,249,1.2409638554216869
467092.0,2015.0,501.0,473,1.0591966173361522
467092.0,2016.0,721.0,469,1.537313432835821
467092.0,2017.0,266.0,206,1.2912621359223302
467092.0,2018.0,545.0,373,1.4611260053619304
467793.0,2015.0,567.0,545,1.0403669724770641
467793.0,2016.0,687.0,623,1.102728731942215
467793.0,2017.0,734.0,584,1.2568493150684932
467793.0,2018.0,611.0,548,1.114963503649635
467827.0,2015.0,726.0,534,1.3595505617977528
467827.0,2016.0,446.0,363,1.2286501377410468
467827.0,2017.0,602.0,391,1.5396419437340154
467827.0,2018.0,582.0,401,1.4513715710723192
471083.0,2015.0,397.0,357,1.112044817927171
471083.0,2016.0,242.0,246,0.983739837398374
